state,year,category,cost
Alabama,2008,food,11036.09
Alabama,2009,food,10808.159999999998
Alabama,2010,food,11074.845
Alabama,2011,food,11024.244999999999
Alabama,2012,food,10940.525
Alabama,2013,food,11056.445
Alabama,2014,food,11055.87
Alabama,2015,food,10933.970000000001
Alabama,2016,food,11030.225
Alabama,2017,food,10976.865
Alabama,2018,food,10640.145
Alabama,2019,food,10879.115
Alabama,2021,food,10802.640000000001
Alabama,2022,food,10885.44
Alabama,2023,food,10932.359999999999
Alaska,2008,food,12181.375
Alaska,2009,food,12157.8
Alaska,2010,food,11971.385
Alaska,2011,food,11910.435
Alaska,2012,food,11683.309999999998
Alaska,2013,food,11522.769999999999
Alaska,2014,food,11498.275
Alaska,2015,food,12023.71
Alaska,2016,food,12360.315
Alaska,2017,food,12390.444999999998
Alaska,2018,food,11866.159999999998
Alaska,2019,food,11560.835000000001
Alaska,2021,food,12555.355000000001
Alaska,2022,food,12142.619999999999
Alaska,2023,food,11542.779999999999
Arizona,2008,food,11839.71
Arizona,2009,food,12235.769999999999
Arizona,2010,food,11511.27
Arizona,2011,food,11379.824999999999
Arizona,2012,food,11298.75
Arizona,2013,food,11224.689999999999
Arizona,2014,food,11241.824999999999
Arizona,2015,food,11335.32
Arizona,2016,food,11254.474999999999
Arizona,2017,food,11177.769999999999
Arizona,2018,food,11021.255000000001
Arizona,2019,food,11040.460000000001
Arizona,2021,food,10936.730000000001
Arizona,2022,food,11281.960000000001
Arizona,2023,food,11209.279999999999
Arkansas,2008,food,11033.33
Arkansas,2009,food,10783.78
Arkansas,2010,food,11101.64
Arkansas,2011,food,11030.800000000001
Arkansas,2012,food,10854.62
Arkansas,2013,food,10960.42
Arkansas,2014,food,10884.98
Arkansas,2015,food,10791.945
Arkansas,2016,food,10901.655
Arkansas,2017,food,10867.5
Arkansas,2018,food,10700.405
Arkansas,2019,food,10899.01
Arkansas,2021,food,10996.07
Arkansas,2022,food,10707.42
Arkansas,2023,food,10595.525
California,2008,food,12351.919999999998
California,2009,food,12037.970000000001
California,2010,food,11848.795
California,2011,food,11912.619999999999
California,2012,food,11969.429999999998
California,2013,food,11993.12
California,2014,food,11999.33
California,2015,food,12140.32
California,2016,food,12007.035
California,2017,food,12012.325
California,2018,food,12130.085
California,2019,food,12210.585000000001
California,2021,food,12436.675000000001
California,2022,food,12469.68
California,2023,food,12365.949999999999
Colorado,2008,food,12013.244999999999
Colorado,2009,food,11743.800000000001
Colorado,2010,food,11653.410000000002
Colorado,2011,food,11689.405
Colorado,2012,food,11660.310000000001
Colorado,2013,food,11624.429999999998
Colorado,2014,food,11530.245
Colorado,2015,food,11487.465
Colorado,2016,food,11486.775
Colorado,2017,food,11455.494999999999
Colorado,2018,food,11226.414999999999
Colorado,2019,food,11681.929999999998
Colorado,2021,food,11703.09
Colorado,2022,food,11633.054999999998
Colorado,2023,food,11283.57
Connecticut,2008,food,12576.054999999998
Connecticut,2009,food,12483.94
Connecticut,2010,food,11916.3
Connecticut,2011,food,11933.779999999999
Connecticut,2012,food,12029.0
Connecticut,2013,food,11992.775000000001
Connecticut,2014,food,11895.715
Connecticut,2015,food,11870.3
Connecticut,2016,food,11916.874999999998
Connecticut,2017,food,12005.54
Connecticut,2018,food,11664.220000000001
