state,year,category,cost
Alabama,2008,food,8732.905999999999
Alabama,2009,food,8552.544
Alabama,2010,food,8763.573
Alabama,2011,food,8723.533
Alabama,2012,food,8657.285
Alabama,2013,food,8749.013
Alabama,2014,food,8748.558
Alabama,2015,food,8652.098
Alabama,2016,food,8728.265000000001
Alabama,2017,food,8686.041
Alabama,2018,food,8419.593
Alabama,2019,food,8608.691
Alabama,2021,food,8548.176000000001
Alabama,2022,food,8613.696
Alabama,2023,food,8650.823999999999
Alaska,2008,food,9639.175000000001
Alaska,2009,food,9620.519999999999
Alaska,2010,food,9473.009
Alaska,2011,food,9424.779
Alaska,2012,food,9245.053999999998
Alaska,2013,food,9118.017999999998
Alaska,2014,food,9098.635
Alaska,2015,food,9514.413999999999
Alaska,2016,food,9780.771
Alaska,2017,food,9804.613
Alaska,2018,food,9389.743999999999
Alaska,2019,food,9148.139000000001
Alaska,2021,food,9935.107000000002
Alaska,2022,food,9608.508
Alaska,2023,food,9133.851999999999
Arizona,2008,food,9368.813999999998
Arizona,2009,food,9682.217999999999
Arizona,2010,food,9108.918
Arizona,2011,food,9004.904999999999
Arizona,2012,food,8940.75
Arizona,2013,food,8882.145999999999
Arizona,2014,food,8895.705
Arizona,2015,food,8969.688
Arizona,2016,food,8905.714999999998
Arizona,2017,food,8845.018
Arizona,2018,food,8721.167000000001
Arizona,2019,food,8736.364
Arizona,2021,food,8654.282000000001
Arizona,2022,food,8927.464
Arizona,2023,food,8869.952
Arkansas,2008,food,8730.722
Arkansas,2009,food,8533.252
Arkansas,2010,food,8784.776
Arkansas,2011,food,8728.720000000001
Arkansas,2012,food,8589.308
Arkansas,2013,food,8673.028
Arkansas,2014,food,8613.332
Arkansas,2015,food,8539.713
Arkansas,2016,food,8626.527
Arkansas,2017,food,8599.5
Arkansas,2018,food,8467.277
Arkansas,2019,food,8624.434000000001
Arkansas,2021,food,8701.238
Arkansas,2022,food,8472.828
Arkansas,2023,food,8384.285
California,2008,food,9774.127999999999
California,2009,food,9525.698
California,2010,food,9376.003
California,2011,food,9426.508
California,2012,food,9471.462
California,2013,food,9490.208
California,2014,food,9495.122
California,2015,food,9606.688
California,2016,food,9501.219
California,2017,food,9505.405
California,2018,food,9598.589
California,2019,food,9662.289
California,2021,food,9841.195
California,2022,food,9867.312
California,2023,food,9785.23
Colorado,2008,food,9506.133
Colorado,2009,food,9292.92
Colorado,2010,food,9221.394000000002
Colorado,2011,food,9249.877
Colorado,2012,food,9226.854000000001
Colorado,2013,food,9198.461999999998
Colorado,2014,food,9123.933
Colorado,2015,food,9090.081
Colorado,2016,food,9089.535
Colorado,2017,food,9064.783
Colorado,2018,food,8883.510999999999
Colorado,2019,food,9243.962
Colorado,2021,food,9260.706
Colorado,2022,food,9205.286999999998
Colorado,2023,food,8928.738
Connecticut,2008,food,9951.487
Connecticut,2009,food,9878.596000000001
Connecticut,2010,food,9429.42
Connecticut,2011,food,9443.252
Connecticut,2012,food,9518.6
Connecticut,2013,food,9489.935000000001
Connecticut,2014,food,9413.131000000001
Connecticut,2015,food,9393.02
Connecticut,2016,food,9429.874999999998
Connecticut,2017,food,9500.036
Connecticut,2018,food,9229.948
Connecticut,2019,food,8984.43
Connecticut,2021,food,8826.181
Connecticut,2022,food,9197.552
Connecticut,2023,food,8860.852
Delaware,2008,food,9417.772
Delaware,2009,food,9276.176000000001
Delaware,2010,food,9238.684
Delaware,2011,food,9327.682
Delaware,2012,food,9049.95
Delaware,2013,food,8838.556999999999
Delaware,2014,food,8703.695
Delaware,2015,food,8838.83
Delaware,2016,food,8974.238
Delaware,2017,food,8782.228
