state,year,median_income,col,mli,annual_surplus,surplus_pct
Alabama,2008,42666,42122.58,1.013,543.4199999999983,1.3
Alabama,2009,40489,41229.2,0.982,-740.1999999999971,-1.8
Alabama,2010,40474,43051.19,0.94,-2577.1900000000023,-6.0
Alabama,2011,41415,44778.14,0.925,-3363.1399999999994,-7.5
Alabama,2012,41574,46025.66,0.903,-4451.6600000000035,-9.7
Alabama,2013,42849,46535.82,0.921,-3686.8199999999997,-7.9
Alabama,2014,42830,46963.34,0.912,-4133.3399999999965,-8.8
Alabama,2015,44765,46431.41,0.964,-1666.4100000000035,-3.6
Alabama,2016,46257,47360.83,0.977,-1103.8300000000017,-2.3
Alabama,2017,48123,48163.21,0.999,-40.20999999999913,-0.1
Alabama,2018,49861,47991.86,1.039,1869.1399999999994,3.9
Alabama,2019,51734,49489.28,1.045,2244.720000000001,4.5
Alabama,2021,53913,52376.34,1.029,1536.6600000000035,2.9
Alabama,2022,59674,56545.98,1.055,3128.019999999997,5.5
Alabama,2023,62212,59940.3,1.038,2271.699999999997,3.8
Alaska,2008,68460,51539.37,1.328,16920.629999999997,32.8
Alaska,2009,66953,53266.08,1.257,13686.919999999998,25.7
Alaska,2010,64576,52444.88,1.231,12131.120000000003,23.1
Alaska,2011,67825,53886.95,1.259,13938.050000000003,25.9
Alaska,2012,67712,55476.42,1.221,12235.580000000002,22.1
Alaska,2013,72237,55743.96,1.296,16493.04,29.6
Alaska,2014,71583,56937.71,1.257,14645.29,25.7
Alaska,2015,73355,57383.49,1.278,15971.510000000002,27.8
Alaska,2016,76440,57832.81,1.322,18607.190000000002,32.2
Alaska,2017,73181,59409.38,1.232,13771.620000000003,23.2
Alaska,2018,74346,59832.19,1.243,14513.809999999998,24.3
Alaska,2019,75463,59577.31,1.267,15885.690000000002,26.7
Alaska,2021,77845,65326.6,1.192,12518.400000000001,19.2
Alaska,2022,88121,68321.34,1.29,19799.660000000003,29.0
Alaska,2023,86631,70133.14,1.235,16497.86,23.5
Arizona,2008,50958,50740.24,1.004,217.76000000000204,0.4
Arizona,2009,48745,50240.72,0.97,-1495.7200000000012,-3.0
Arizona,2010,46789,49560.4,0.944,-2771.4000000000015,-5.6
Arizona,2011,46709,50510.1,0.925,-3801.0999999999985,-7.5
Arizona,2012,47826,51231.54,0.934,-3405.540000000001,-6.6
Arizona,2013,48510,51869.06,0.935,-3359.0599999999977,-6.5
Arizona,2014,50068,52335.92,0.957,-2267.9199999999983,-4.3
Arizona,2015,51492,52355.79,0.984,-863.7900000000009,-1.6
Arizona,2016,53558,53175.15,1.007,382.84999999999854,0.7
Arizona,2017,56581,54305.49,1.042,2275.510000000002,4.2
Arizona,2018,59246,55478.93,1.068,3767.0699999999997,6.8
Arizona,2019,62055,56706.02,1.094,5348.980000000003,9.4
Arizona,2021,69056,61107.88,1.13,7948.120000000003,13.0
Arizona,2022,74568,68536.67,1.088,6031.330000000002,8.8
Arizona,2023,77315,72166.46,1.071,5148.539999999994,7.1
Arkansas,2008,38815,41736.56,0.93,-2921.5599999999977,-7.0
Arkansas,2009,37823,40545.58,0.933,-2722.5800000000017,-6.7
Arkansas,2010,38307,42607.86,0.899,-4300.860000000001,-10.1
Arkansas,2011,38758,44580.84,0.869,-5822.8399999999965,-13.1
Arkansas,2012,40112,45358.1,0.884,-5246.0999999999985,-11.6
Arkansas,2013,40511,46025.46,0.88,-5514.459999999999,-12.0
Arkansas,2014,41262,46646.18,0.885,-5384.18,-11.5
Arkansas,2015,41995,46047.49,0.912,-4052.489999999998,-8.8
Arkansas,2016,44334,46632.29,0.951,-2298.290000000001,-4.9
Arkansas,2017,45869,47120.1,0.973,-1251.0999999999985,-2.7
Arkansas,2018,47062,47718.86,0.986,-656.8600000000006,-1.4
Arkansas,2019,48952,48803.63,1.003,148.37000000000262,0.3
Arkansas,2021,52528,52580.69,0.999,-52.69000000000233,-0.1
Arkansas,2022,55432,55422.16,1.0,9.839999999996508,0.0
Arkansas,2023,58700,57243.77,1.025,1456.2300000000032,2.5
California,2008,61021,58633.45,1.041,2387.550000000003,4.1
California,2009,58931,57600.64,1.023,1330.3600000000006,2.3
California,2010,57708,57809.83,0.998,-101.83000000000175,-0.2
California,2011,57287,59633.62,0.961,-2346.6200000000026,-3.9
California,2012,58328,60809.06,0.959,-2481.0599999999977,-4.1
California,2013,60190,61632.39,0.977,-1442.3899999999994,-2.3
California,2014,61933,62998.66,0.983,-1065.6600000000035,-1.7
California,2015,64500,63402.9,1.017,1097.0999999999985,1.7
California,2016,67739,64207.72,1.055,3531.279999999999,5.5
California,2017,71805,66651.72,1.077,5153.279999999999,7.7
California,2018,75277,69099.59,1.089,6177.4100000000035,8.9
California,2019,80440,70477.26,1.141,9962.740000000005,14.1
California,2021,84907,75449.31,1.125,9457.690000000002,12.5
California,2022,91551,81265.48,1.127,10285.520000000004,12.7
California,2023,95521,84280.31,1.133,11240.690000000002,13.3
Colorado,2008,56993,52361.51,1.088,4631.489999999998,8.8
Colorado,2009,55430,51318.83,1.08,4111.169999999998,8.0
Colorado,2010,54046,51461.61,1.05,2584.3899999999994,5.0
Colorado,2011,55387,54653.43,1.013,733.5699999999997,1.3
Colorado,2012,56765,55457.61,1.024,1307.3899999999994,2.4
Colorado,2013,58823,56583.94,1.04,2239.0599999999977,4.0
Colorado,2014,61303,57557.63,1.065,3745.3700000000026,6.5
Colorado,2015,63909,57933.56,1.103,5975.440000000002,10.3
Colorado,2016,65685,58963.28,1.114,6721.720000000001,11.4
Colorado,2017,69117,60904.91,1.135,8212.089999999997,13.5
Colorado,2018,71953,61404.17,1.172,10548.830000000002,17.2
Colorado,2019,77127,64074.76,1.204,13052.239999999998,20.4
Colorado,2021,82254,68009.61,1.209,14244.39,20.9
Colorado,2022,89302,73413.49,1.216,15888.509999999995,21.6
Colorado,2023,92911,75888.84,1.224,17022.160000000003,22.4
Connecticut,2008,68595,56723.62,1.209,11871.379999999997,20.9
Connecticut,2009,67034,56900.95,1.178,10133.050000000003,17.8
Connecticut,2010,64032,55393.93,1.156,8638.07,15.6
Connecticut,2011,65753,57742.49,1.139,8010.510000000002,13.9
Connecticut,2012,67276,59085.16,1.139,8190.8399999999965,13.9
Connecticut,2013,67098,59640.54,1.125,7457.459999999999,12.5
Connecticut,2014,70048,60143.84,1.165,9904.160000000003,16.5
Connecticut,2015,71346,60867.46,1.172,10478.54,17.2
Connecticut,2016,73433,60700.25,1.21,12732.75,21.0
Connecticut,2017,74168,61481.42,1.206,12686.580000000002,20.6
Connecticut,2018,76348,61898.18,1.233,14449.82,23.3
Connecticut,2019,78833,62003.14,1.271,16829.86,27.1
Connecticut,2021,83771,65905.42,1.271,17865.58,27.1
Connecticut,2022,88429,72791.8,1.215,15637.199999999997,21.5
Connecticut,2023,91665,73758.68,1.243,17906.320000000007,24.3
Delaware,2008,57989,49451.62,1.173,8537.379999999997,17.3
Delaware,2009,56860,50553.53,1.125,6306.470000000001,12.5
Delaware,2010,55847,50672.77,1.102,5174.230000000003,10.2
Delaware,2011,58814,52035.0,1.13,6779.0,13.0
Delaware,2012,58415,52585.53,1.111,5829.470000000001,11.1
Delaware,2013,57846,53026.8,1.091,4819.199999999997,9.1
Delaware,2014,59716,54688.43,1.092,5027.57,9.2
Delaware,2015,61255,53058.48,1.154,8196.519999999997,15.4
Delaware,2016,61757,53809.96,1.148,7947.040000000001,14.8
Delaware,2017,62852,55027.9,1.142,7824.0999999999985,14.2
Delaware,2018,64805,57391.5,1.129,7413.5,12.9
Delaware,2019,70176,57653.71,1.217,12522.29,21.7
Delaware,2021,71091,60953.45,1.166,10137.550000000003,16.6
Delaware,2022,82174,66767.72,1.231,15406.279999999999,23.1
Delaware,2023,81361,70144.09,1.16,11216.910000000003,16.0
Florida,2008,47778,51581.55,0.926,-3803.550000000003,-7.4
Florida,2009,44736,50104.32,0.893,-5368.32,-10.7
Florida,2010,44409,50788.55,0.874,-6379.550000000003,-12.6
Florida,2011,44299,52614.44,0.842,-8315.440000000002,-15.8
Florida,2012,45040,53865.27,0.836,-8825.269999999997,-16.4
Florida,2013,46036,54367.61,0.847,-8331.61,-15.3
Florida,2014,47463,55273.74,0.859,-7810.739999999998,-14.1
Florida,2015,49426,55383.81,0.892,-5957.809999999998,-10.8
Florida,2016,50860,56049.29,0.907,-5189.290000000001,-9.3
Florida,2017,52594,57634.35,0.913,-5040.3499999999985,-8.7
Florida,2018,55462,58967.54,0.941,-3505.540000000001,-5.9
Florida,2019,59227,59857.0,0.989,-630.0,-1.1
Florida,2021,63062,64692.5,0.975,-1630.5,-2.5
Florida,2022,69303,70898.48,0.977,-1595.479999999996,-2.3
Florida,2023,73311,75581.4,0.97,-2270.399999999994,-3.0
Georgia,2008,50861,45532.05,1.117,5328.949999999997,11.7
Georgia,2009,47590,44502.39,1.069,3087.6100000000006,6.9
Georgia,2010,46430,46110.87,1.007,319.1299999999974,0.7
Georgia,2011,46007,47376.7,0.971,-1369.699999999997,-2.9
