state,year,homeownership_rate,rental_rate
Alabama,2008,65.0,35.0
Alabama,2009,65.0,35.0
Alabama,2010,65.0,35.0
Alabama,2011,65.0,35.0
Alabama,2012,65.0,35.0
Alabama,2013,65.0,35.0
Alabama,2014,65.0,35.0
Alabama,2015,65.0,35.0
Alabama,2016,65.0,35.0
Alabama,2017,65.0,35.0
Alabama,2018,65.0,35.0
Alabama,2019,65.0,35.0
Alabama,2021,65.0,35.0
Alabama,2022,65.0,35.0
Alabama,2023,65.0,35.0
Alaska,2008,65.0,35.0
Alaska,2009,65.0,35.0
Alaska,2010,65.0,35.0
Alaska,2011,65.0,35.0
Alaska,2012,65.0,35.0
Alaska,2013,65.0,35.0
Alaska,2014,65.0,35.0
Alaska,2015,65.0,35.0
Alaska,2016,65.0,35.0
Alaska,2017,65.0,35.0
Alaska,2018,65.0,35.0
Alaska,2019,65.0,35.0
Alaska,2021,65.0,35.0
Alaska,2022,65.0,35.0
Alaska,2023,65.0,35.0
Arizona,2008,65.0,35.0
Arizona,2009,65.0,35.0
Arizona,2010,65.0,35.0
Arizona,2011,65.0,35.0
Arizona,2012,65.0,35.0
Arizona,2013,65.0,35.0
Arizona,2014,65.0,35.0
Arizona,2015,65.0,35.0
Arizona,2016,65.0,35.0
Arizona,2017,65.0,35.0
Arizona,2018,65.0,35.0
Arizona,2019,65.0,35.0
Arizona,2021,65.0,35.0
Arizona,2022,65.0,35.0
Arizona,2023,65.0,35.0
Arkansas,2008,65.0,35.0
Arkansas,2009,65.0,35.0
Arkansas,2010,65.0,35.0
Arkansas,2011,65.0,35.0
Arkansas,2012,65.0,35.0
Arkansas,2013,65.0,35.0
Arkansas,2014,65.0,35.0
Arkansas,2015,65.0,35.0
Arkansas,2016,65.0,35.0
Arkansas,2017,65.0,35.0
Arkansas,2018,65.0,35.0
Arkansas,2019,65.0,35.0
Arkansas,2021,65.0,35.0
Arkansas,2022,65.0,35.0
Arkansas,2023,65.0,35.0
California,2008,65.0,35.0
California,2009,65.0,35.0
California,2010,65.0,35.0
California,2011,65.0,35.0
California,2012,65.0,35.0
California,2013,65.0,35.0
California,2014,65.0,35.0
California,2015,65.0,35.0
California,2016,65.0,35.0
California,2017,65.0,35.0
California,2018,65.0,35.0
California,2019,65.0,35.0
California,2021,65.0,35.0
California,2022,65.0,35.0
