state,year,housing_cost_weighted,annual_market_rent,owner_costs,homeownership_rate,rental_rate
Alabama,2008,9593.79,7572,10419.587184668046,71.0,29.0
Alabama,2009,9633.79,7884,10398.06643158525,69.6,30.4
Alabama,2010,9826.83,8004,10604.330836853145,70.1,29.9
Alabama,2011,9846.17,8244,10536.09528967793,69.9,30.1
Alabama,2012,10218.71,8268,11103.330772033385,68.8,31.2
Alabama,2013,10256.44,8328,11163.937746239186,68.0,32.0
Alabama,2014,10264.69,8604,11057.014586262872,67.7,32.3
Alabama,2015,10368.13,8748,11134.055843403947,67.9,32.1
Alabama,2016,10862.5,8916,11757.606565584978,68.5,31.5
Alabama,2017,11275.38,9000,12346.15156982006,68.0,32.0
Alabama,2018,11332.21,9456,12215.132938637087,68.0,32.0
Alabama,2019,11804.4,9684,12765.971564692227,68.8,31.2
Alabama,2021,12565.09,10332,13522.132114213282,70.0,30.0
Alabama,2022,12781.76,10956,13556.790926332304,70.2,29.8
Alabama,2023,14563.61,11784,15749.21357142857,70.1,29.9
Alaska,2008,16530.24,11388,19299.140767060235,65.0,35.0
Alaska,2009,18699.49,12084,22230.461605298242,65.2,34.8
Alaska,2010,17602.89,11772,20897.02465476779,63.9,36.1
Alaska,2011,17287.39,12588,20035.524323766225,63.1,36.9
Alaska,2012,18622.25,13440,21613.895916194517,63.4,36.6
Alaska,2013,18737.54,13404,21803.273637686176,63.5,36.5
Alaska,2014,19463.2,14196,22623.526559976373,62.5,37.5
Alaska,2015,19603.63,13956,22794.230358796358,63.9,36.1
Alaska,2016,19192.59,14496,21777.53327774126,64.5,35.5
Alaska,2017,19751.73,14412,22821.01606677594,63.5,36.5
Alaska,2018,19633.17,14124,22522.123700494372,65.6,34.4
Alaska,2019,19485.14,14412,22253.023522654144,64.7,35.3
Alaska,2021,21144.44,15108,24144.57988245238,66.8,33.2
Alaska,2022,21152.77,15948,23822.091546453503,66.1,33.9
Alaska,2023,22518.84,16476,25590.385000000006,66.3,33.7
Arizona,2008,16338.17,10392,19123.524759338183,68.1,31.9
Arizona,2009,15775.79,10308,18456.710950489356,67.1,32.9
Arizona,2010,15111.84,10128,17771.919574644853,65.2,34.8
Arizona,2011,14875.89,10200,17540.48733747576,63.7,36.3
Arizona,2012,15129.32,10656,17801.87151718851,62.6,37.4
Arizona,2013,15153.03,10680,17882.942030060138,62.1,37.9
Arizona,2014,15342.31,10992,18111.98454427498,61.1,38.9
Arizona,2015,15876.84,11196,18757.94467002672,61.9,38.1
Arizona,2016,16179.9,11712,18781.467207619648,63.2,36.8
Arizona,2017,16969.02,12240,19549.143717639574,64.7,35.3
Arizona,2018,17583.05,12432,20381.148092618838,64.8,35.2
Arizona,2019,18036.67,13212,20600.472426033728,65.3,34.7
Arizona,2021,21010.21,15036,23873.58237113461,67.6,32.4
Arizona,2022,23376.37,17400,26267.024311644403,67.4,32.6
Arizona,2023,25469.44,19296,28414.814285714285,67.7,32.3
Arkansas,2008,9294.32,7272,10272.48150494415,67.4,32.6
Arkansas,2009,9095.62,7272,10035.054944616948,66.0,34.0
Arkansas,2010,9486.68,7656,10372.149093469943,67.4,32.6
Arkansas,2011,9766.89,7668,10819.482696572373,66.6,33.4
Arkansas,2012,9802.06,7680,10885.530830959915,66.2,33.8
Arkansas,2013,9933.39,7908,10990.791003014381,65.7,34.3
Arkansas,2014,10247.04,8196,11313.083924170138,65.8,34.2
Arkansas,2015,10296.37,8340,11340.565469741303,65.2,34.8
Arkansas,2016,10512.89,8412,11664.152956282383,64.6,35.4
Arkansas,2017,10551.18,8532,11624.153224081429,65.3,34.7
Arkansas,2018,10605.9,8772,11559.085440025845,65.8,34.2
Arkansas,2019,11014.69,8904,12126.429570929213,65.5,34.5
Arkansas,2021,12217.88,9840,13389.0704607043,67.0,33.0
Arkansas,2022,12258.83,10152,13320.168415555538,66.5,33.5
Arkansas,2023,13282.45,11196,14347.74071428571,66.2,33.8
California,2008,23518.66,13620,30986.06174816263,57.0,43.0
California,2009,23448.16,13860,30800.21888906602,56.6,43.4
California,2010,22922.3,13956,30082.442971423814,55.6,44.4
California,2011,22985.19,14088,30294.176545609454,54.9,45.1
California,2012,23114.56,14400,30538.0666740612,54.0,46.0
California,2013,23497.3,14688,31062.166517308426,53.8,46.2
California,2014,24414.83,15216,32346.02930360423,53.7,46.3
California,2015,24965.79,15732,32959.22334680056,53.6,46.4
California,2016,25955.71,16500,34141.2529849519,53.6,46.4
California,2017,27381.23,17364,35643.619705850506,54.8,45.2
California,2018,28450.18,18240,36871.72101281753,54.8,45.2
California,2019,29543.98,19368,37903.48400947446,54.9,45.1
California,2021,31551.11,21000,39874.978509939225,55.9,44.1
California,2022,32912.88,22440,41208.60042866403,55.8,44.2
California,2023,34624.76,23904,43082.46214285714,55.9,44.1
Colorado,2008,17901.51,10176,21621.19639016495,67.5,32.5
Colorado,2009,17801.95,10212,21540.279713953485,67.0,33.0
Colorado,2010,17472.67,10356,21155.190002529896,65.9,34.1
Colorado,2011,18549.51,10800,22833.401367771832,64.4,35.6
Colorado,2012,18356.64,11208,22377.753011759316,64.0,36.0
Colorado,2013,19177.65,11652,23319.68190665089,64.5,35.5
Colorado,2014,20056.12,12240,24471.79666361274,63.9,36.1
Colorado,2015,21021.99,13332,25404.19391794729,63.7,36.3
Colorado,2016,22094.25,14052,26462.877243627114,64.8,35.2
Colorado,2017,23299.06,14880,27792.66771199453,65.2,34.8
Colorado,2018,23871.69,15468,28376.888360728357,65.1,34.9
Colorado,2019,25197.34,16428,29735.03568682166,65.9,34.1
Colorado,2021,26429.43,17892,30672.576928223396,66.8,33.2
Colorado,2022,28316.35,19752,32650.12255179886,66.4,33.6
Colorado,2023,30279.95,21252,34993.16857142858,65.7,34.3
Connecticut,2008,20869.41,11640,25015.960727432685,69.0,31.0
Connecticut,2009,21739.39,12072,26123.441346721553,68.8,31.2
Connecticut,2010,20291.99,11904,24239.2854226267,68.0,32.0
Connecticut,2011,20687.94,12252,24768.234136097,67.4,32.6
Connecticut,2012,21180.52,12228,25609.938058558433,66.9,33.1
Connecticut,2013,21212.12,12480,25650.611306186183,66.3,33.7
Connecticut,2014,21515.66,12912,25869.31885724399,66.4,33.6
Connecticut,2015,22741.88,13296,27564.706270626404,66.2,33.8
Connecticut,2016,22195.31,13380,26983.86852184579,64.8,35.2
Connecticut,2017,22015.08,13500,26362.66107390753,66.2,33.8
Connecticut,2018,22763.46,14052,27291.29545834006,65.8,34.2
Connecticut,2019,22544.68,14124,27078.889291795844,65.0,35.0
Connecticut,2021,24584.83,15324,29229.156433287273,66.6,33.4
Connecticut,2022,25977.16,16320,30885.84663630709,66.3,33.7
Connecticut,2023,27008.12,17556,31942.782142857148,65.7,34.3
Delaware,2008,15172.18,11004,16674.991778935557,73.5,26.5
Delaware,2009,17031.61,11388,19055.94286338858,73.6,26.4
Delaware,2010,16065.15,11424,17781.745961626242,73.0,27.0
Delaware,2011,15989.45,11520,17762.254566388303,71.6,28.4
Delaware,2012,16195.1,11520,18123.24224441315,70.8,29.2
Delaware,2013,16720.81,11988,18588.852705757552,71.7,28.3
Delaware,2014,17917.01,12288,20295.129628960945,70.3,29.7
Delaware,2015,16783.48,12588,18513.82113290564,70.8,29.2
Delaware,2016,17000.27,12576,18914.494144071523,69.8,30.2
Delaware,2017,17623.46,13032,19507.959685319856,70.9,29.1
Delaware,2018,19040.74,13296,21387.188394176555,71.0,29.0
Delaware,2019,18885.53,13392,21206.41217447895,70.3,29.7
Delaware,2021,20312.75,14496,22508.054671064667,72.6,27.4
Delaware,2022,22412.44,15288,24902.622293670036,74.1,25.9
Delaware,2023,23765.12,16296,26444.26142857143,73.6,26.4
District of Columbia,2008,20137.32,12132,30577.43535379905,43.4,56.6
District of Columbia,2009,21330.43,12708,31954.50355148967,44.8,55.2
District of Columbia,2010,23355.06,14376,35503.19082941963,42.5,57.5
District of Columbia,2011,24056.79,14592,37564.79983543073,41.2,58.8
District of Columbia,2012,23320.47,14820,35303.06945551532,41.5,58.5
District of Columbia,2013,23580.37,15684,35085.390176133944,40.7,59.3
District of Columbia,2014,25972.15,16320,40093.77546358091,40.6,59.4
District of Columbia,2015,25188.65,17004,37516.91300500401,39.9,60.1
District of Columbia,2016,25890.47,16512,40436.657698909294,39.2,60.8
District of Columbia,2017,26939.16,17988,39199.288466412,42.2,57.8
District of Columbia,2018,27648.6,18192,40548.03909028899,42.3,57.7
District of Columbia,2019,27678.61,19236,39579.64036690733,41.5,58.5
District of Columbia,2021,29748.41,20016,43411.216675923475,41.6,58.4
District of Columbia,2022,32174.52,22116,46648.98743224952,41.0,59.0
District of Columbia,2023,32350.12,22848,47150.105,39.1,60.9
Florida,2008,18350.54,11364,21387.730641317423,69.7,30.3
Florida,2009,17666.16,11424,20536.646643092325,68.5,31.5
Florida,2010,17196.64,11364,19928.82080179308,68.1,31.9
Florida,2011,17227.97,11388,20143.584253789068,66.7,33.3
Florida,2012,17497.14,11448,20669.25645048601,65.6,34.4
Florida,2013,17568.15,11664,20775.337194690575,64.8,35.2
Florida,2014,18084.59,12036,21472.177432893506,64.1,35.9
Florida,2015,18623.4,12552,22068.298809646014,63.8,36.2
Florida,2016,19151.3,13032,22578.482425434344,64.1,35.9
Florida,2017,20025.61,13536,23489.387052173654,65.2,34.8
Florida,2018,20733.16,14184,24122.034276933646,65.9,34.1
Florida,2019,21617.92,14856,25070.378023687816,66.2,33.8
Florida,2021,23150.83,16176,26524.417836523713,67.4,32.6
Florida,2022,25539.21,18300,29072.639281094933,67.2,32.8
Florida,2023,28874.33,20628,32737.142142857152,68.1,31.9
Georgia,2008,13078.36,9444,14836.22513727457,67.4,32.6
Georgia,2009,13179.56,9600,14942.619941954314,67.0,33.0
Georgia,2010,12840.54,9828,14378.65823246904,66.2,33.8
Georgia,2011,12856.42,9996,14423.888066949388,64.6,35.4
Georgia,2012,12951.71,10044,14608.695233673749,63.7,36.3
Georgia,2013,13004.61,10200,14673.065158647034,62.7,37.3
Georgia,2014,13337.92,10584,15011.529251004478,62.2,37.8
Georgia,2015,13768.11,10908,15536.00718982004,61.8,38.2
Georgia,2016,14220.43,11196,16113.775663777093,61.5,38.5
Georgia,2017,14794.98,11496,16740.807453093992,62.9,37.1
Georgia,2018,15307.44,12096,17129.610524003117,63.8,36.2
Georgia,2019,15784.57,12588,17574.8478775073,64.1,35.9
Georgia,2021,17484.0,13836,19363.276678045484,66.0,34.0
Georgia,2022,19225.21,15228,21293.57317169659,65.9,34.1
Georgia,2023,20644.75,16800,22616.568571428576,66.1,33.9
Hawaii,2008,22224.86,15576,26826.18637225566,59.1,40.9
Hawaii,2009,21894.69,15516,26765.89329338762,56.7,43.3
Hawaii,2010,21590.21,15492,26006.156140035,58.0,42.0
Hawaii,2011,21732.58,15696,26323.783642787235,56.8,43.2
Hawaii,2012,21496.46,16548,25244.760026073618,56.9,43.1
Hawaii,2013,24041.26,16968,29553.864088494563,56.2,43.8
Hawaii,2014,23741.28,17376,28602.251849650595,56.7,43.3
Hawaii,2015,25302.96,18000,30902.748972323625,56.6,43.4
Hawaii,2016,23774.62,17796,28248.13582644281,57.2,42.8
Hawaii,2017,26313.88,18876,31590.329834869837,58.5,41.5
Hawaii,2018,25975.87,19356,30710.83993307756,58.3,41.7
Hawaii,2019,26872.21,19812,31539.916423734,60.2,39.8
Hawaii,2021,28271.43,21288,32443.64579867236,62.6,37.4
Hawaii,2022,28578.75,21756,32654.96213694087,62.6,37.4
Hawaii,2023,29700.5,23280,33569.264285714286,62.4,37.6
Idaho,2008,13064.92,8280,15028.825095253962,70.9,29.1
Idaho,2009,12763.01,8328,14530.806129925275,71.5,28.5
