state,year,median_income,col_new,mli_new,annual_surplus,surplus_pct,mli_old,col_old,mli_change,col_change,col_change_pct
Alabama,2008,42666,42122.58,1.013,543.4199999999983,1.3,1.014,42094.1,-0.001000000000000112,28.4800000000032,0.1
Alabama,2009,40489,41229.2,0.982,-740.1999999999971,-1.8,0.982,41239.26,0.0,-10.060000000004948,-0.0
Alabama,2010,40474,43051.19,0.94,-2577.1900000000023,-6.0,0.94,43048.6,0.0,2.5900000000037835,0.0
Alabama,2011,41415,44778.14,0.925,-3363.1399999999994,-7.5,0.925,44780.44,0.0,-2.3000000000029104,-0.0
Alabama,2012,41574,46025.66,0.903,-4451.6600000000035,-9.7,0.903,46059.68,0.0,-34.0199999999968,-0.1
Alabama,2013,42849,46535.82,0.921,-3686.8199999999997,-7.9,0.92,46592.54,0.0010000000000000009,-56.720000000001164,-0.1
Alabama,2014,42830,46963.34,0.912,-4133.3399999999965,-8.8,0.911,47019.76,0.0010000000000000009,-56.42000000000553,-0.1
Alabama,2015,44765,46431.41,0.964,-1666.4100000000035,-3.6,0.963,46481.52,0.0010000000000000009,-50.109999999993306,-0.1
Alabama,2016,46257,47360.83,0.977,-1103.8300000000017,-2.3,0.976,47403.46,0.0010000000000000009,-42.62999999999738,-0.1
Alabama,2017,48123,48163.21,0.999,-40.20999999999913,-0.1,0.998,48230.13,0.0010000000000000009,-66.91999999999825,-0.1
Alabama,2018,49861,47991.86,1.039,1869.1399999999994,3.9,1.038,48047.04,0.0009999999999998899,-55.18000000000029,-0.1
Alabama,2019,51734,49489.28,1.045,2244.720000000001,4.5,1.045,49526.26,0.0,-36.9800000000032,-0.1
Alabama,2021,53913,52376.34,1.029,1536.6600000000035,2.9,1.029,52376.35,0.0,-0.010000000002037268,-0.0
Alabama,2022,59674,56545.98,1.055,3128.019999999997,5.5,1.055,56540.78,0.0,5.200000000004366,0.0
Alabama,2023,62212,59940.3,1.038,2271.699999999997,3.8,1.038,59936.34,0.0,3.960000000006403,0.0
Alaska,2008,68460,51539.37,1.328,16920.629999999997,32.8,1.318,51934.93,0.010000000000000009,-395.5599999999977,-0.8
Alaska,2009,66953,53266.08,1.257,13686.919999999998,25.7,1.246,53753.11,0.010999999999999899,-487.02999999999884,-0.9
Alaska,2010,64576,52444.88,1.231,12131.120000000003,23.1,1.218,53001.51,0.013000000000000123,-556.6300000000047,-1.1
Alaska,2011,67825,53886.95,1.259,13938.050000000003,25.9,1.247,54400.83,0.011999999999999789,-513.8800000000047,-0.9
Alaska,2012,67712,55476.42,1.221,12235.580000000002,22.1,1.209,56015.89,0.01200000000000001,-539.4700000000012,-1.0
Alaska,2013,72237,55743.96,1.296,16493.04,29.6,1.283,56289.91,0.013000000000000123,-545.9500000000044,-1.0
Alaska,2014,71583,56937.71,1.257,14645.29,25.7,1.243,57569.78,0.01399999999999979,-632.0699999999997,-1.1
Alaska,2015,73355,57383.49,1.278,15971.510000000002,27.8,1.266,57922.62,0.01200000000000001,-539.1300000000047,-0.9
Alaska,2016,76440,57832.81,1.322,18607.190000000002,32.2,1.313,58233.3,0.009000000000000119,-400.49000000000524,-0.7
Alaska,2017,73181,59409.38,1.232,13771.620000000003,23.2,1.221,59955.96,0.010999999999999899,-546.5800000000017,-0.9
Alaska,2018,74346,59832.19,1.243,14513.809999999998,24.3,1.235,60201.7,0.008000000000000007,-369.50999999999476,-0.6
Alaska,2019,75463,59577.31,1.267,15885.690000000002,26.7,1.258,59992.89,0.008999999999999897,-415.58000000000175,-0.7
Alaska,2021,77845,65326.6,1.192,12518.400000000001,19.2,1.186,65615.76,0.006000000000000005,-289.1599999999962,-0.4
Alaska,2022,88121,68321.34,1.29,19799.660000000003,29.0,1.284,68628.43,0.006000000000000005,-307.0899999999965,-0.4
Alaska,2023,86631,70133.14,1.235,16497.86,23.5,1.229,70470.37,0.006000000000000005,-337.2299999999959,-0.5
Arizona,2008,50958,50740.24,1.004,217.76000000000204,0.4,1.001,50906.13,0.0030000000000001137,-165.88999999999942,-0.3
Arizona,2009,48745,50240.72,0.97,-1495.7200000000012,-3.0,0.966,50477.03,0.0040000000000000036,-236.30999999999767,-0.5
Arizona,2010,46789,49560.4,0.944,-2771.4000000000015,-5.6,0.937,49927.31,0.006999999999999895,-366.9099999999962,-0.7
Arizona,2011,46709,50510.1,0.925,-3801.0999999999985,-7.5,0.916,50972.55,0.009000000000000008,-462.45000000000437,-0.9
Arizona,2012,47826,51231.54,0.934,-3405.540000000001,-6.6,0.924,51760.33,0.010000000000000009,-528.7900000000009,-1.0
Arizona,2013,48510,51869.06,0.935,-3359.0599999999977,-6.5,0.925,52438.09,0.010000000000000009,-569.0299999999988,-1.1
Arizona,2014,50068,52335.92,0.957,-2267.9199999999983,-4.3,0.945,52969.6,0.01200000000000001,-633.6800000000003,-1.2
Arizona,2015,51492,52355.79,0.984,-863.7900000000009,-1.6,0.972,52968.31,0.01200000000000001,-612.5199999999968,-1.2
Arizona,2016,53558,53175.15,1.007,382.84999999999854,0.7,0.998,53655.88,0.008999999999999897,-480.7299999999959,-0.9
Arizona,2017,56581,54305.49,1.042,2275.510000000002,4.2,1.035,54692.87,0.007000000000000117,-387.38000000000466,-0.7
Arizona,2018,59246,55478.93,1.068,3767.0699999999997,6.8,1.06,55892.29,0.008000000000000007,-413.3600000000006,-0.7
Arizona,2019,62055,56706.02,1.094,5348.980000000003,9.4,1.088,57053.28,0.006000000000000005,-347.26000000000204,-0.6
Arizona,2021,69056,61107.88,1.13,7948.120000000003,13.0,1.126,61319.98,0.0040000000000000036,-212.10000000000582,-0.3
Arizona,2022,74568,68536.67,1.088,6031.330000000002,8.8,1.084,68767.22,0.0040000000000000036,-230.5500000000029,-0.3
Arizona,2023,77315,72166.46,1.071,5148.539999999994,7.1,1.068,72376.19,0.0029999999999998916,-209.72999999999593,-0.3
Arkansas,2008,38815,41736.56,0.93,-2921.5599999999977,-7.0,0.928,41814.58,0.0020000000000000018,-78.02000000000407,-0.2
Arkansas,2009,37823,40545.58,0.933,-2722.5800000000017,-6.7,0.93,40656.1,0.0030000000000000027,-110.5199999999968,-0.3
Arkansas,2010,38307,42607.86,0.899,-4300.860000000001,-10.1,0.898,42678.48,0.0010000000000000009,-70.62000000000262,-0.2
Arkansas,2011,38758,44580.84,0.869,-5822.8399999999965,-13.1,0.867,44687.99,0.0020000000000000018,-107.15000000000146,-0.2
Arkansas,2012,40112,45358.1,0.884,-5246.0999999999985,-11.6,0.882,45479.91,0.0020000000000000018,-121.81000000000495,-0.3
Arkansas,2013,40511,46025.46,0.88,-5514.459999999999,-12.0,0.878,46158.03,0.0020000000000000018,-132.5699999999997,-0.3
Arkansas,2014,41262,46646.18,0.885,-5384.18,-11.5,0.882,46777.1,0.0030000000000000027,-130.91999999999825,-0.3
Arkansas,2015,41995,46047.49,0.912,-4052.489999999998,-8.8,0.909,46191.52,0.0030000000000000027,-144.02999999999884,-0.3
Arkansas,2016,44334,46632.29,0.951,-2298.290000000001,-4.9,0.947,46807.91,0.0040000000000000036,-175.62000000000262,-0.4
Arkansas,2017,45869,47120.1,0.973,-1251.0999999999985,-2.7,0.97,47265.43,0.0030000000000000027,-145.33000000000175,-0.3
Arkansas,2018,47062,47718.86,0.986,-656.8600000000006,-1.4,0.984,47835.92,0.0020000000000000018,-117.05999999999767,-0.2
Arkansas,2019,48952,48803.63,1.003,148.37000000000262,0.3,1.0,48948.64,0.0029999999999998916,-145.01000000000204,-0.3
Arkansas,2021,52528,52580.69,0.999,-52.69000000000233,-0.1,0.997,52687.15,0.0020000000000000018,-106.45999999999913,-0.2
Arkansas,2022,55432,55422.16,1.0,9.839999999996508,0.0,0.998,55533.04,0.0020000000000000018,-110.87999999999738,-0.2
Arkansas,2023,58700,57243.77,1.025,1456.2300000000032,2.5,1.023,57363.54,0.0020000000000000018,-119.77000000000407,-0.2
California,2008,61021,58633.45,1.041,2387.550000000003,4.1,1.002,60891.03,0.038999999999999924,-2257.5800000000017,-3.7
California,2009,58931,57600.64,1.023,1330.3600000000006,2.3,0.984,59870.63,0.038999999999999924,-2269.989999999998,-3.8
California,2010,57708,57809.83,0.998,-101.83000000000175,-0.2,0.96,60132.04,0.038000000000000034,-2322.209999999999,-3.9
California,2011,57287,59633.62,0.961,-2346.6200000000026,-3.9,0.923,62080.75,0.03799999999999992,-2447.1299999999974,-3.9
California,2012,58328,60809.06,0.959,-2481.0599999999977,-4.1,0.92,63391.14,0.038999999999999924,-2582.0800000000017,-4.1
California,2013,60190,61632.39,0.977,-1442.3899999999994,-2.3,0.936,64285.01,0.040999999999999925,-2652.6200000000026,-4.1
California,2014,61933,62998.66,0.983,-1065.6600000000035,-1.7,0.941,65790.85,0.04200000000000004,-2792.1900000000023,-4.2
California,2015,64500,63402.9,1.017,1097.0999999999985,1.7,0.974,66228.17,0.04299999999999993,-2825.269999999997,-4.3
California,2016,67739,64207.72,1.055,3531.279999999999,5.5,1.01,67100.89,0.04499999999999993,-2893.1699999999983,-4.3
