state_fips,state_name,year,median_income,mean_income,data_source,collection_date,currency_code
01,Alabama,2005,36879,50743.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2006,38783,53017.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2007,40554,55552.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2008,42666,57957.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2009,40489,55543.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2010,40474,55778.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2011,41415,57208.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2012,41574,57372.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2013,42849,59294.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2014,42830,59464.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2015,44765,62307.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2016,46257,64632.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2017,48123,66337.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2018,49861,69091.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2019,51734,71478.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2021,53913,75923.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2022,59674,82956.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2023,62212,85530.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
01,Alabama,2024,66659,90741.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2005,56234,70878.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2006,59393,73358.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2007,64333,78765.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2008,68460,83423.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2009,66953,81471.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2010,64576,81290.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
02,Alaska,2011,67825,82665.0,US Census Bureau - American Community Survey (ACS 1-Year),2026-01-03,USD
