state,year,median_income,col_index,purchasing_power,mli
Alabama,2008,42666,41894.86,1.0184066268563705,76.12
Alabama,2009,40489,41445.92,0.9769116702134979,73.02
Alabama,2010,40474,42330.83,0.9561353704744624,71.46
Alabama,2011,41415,42313.27,0.9787708583035803,73.15
Alabama,2012,41574,42580.08,0.9763721532151817,72.97
Alabama,2013,42849,42490.47,1.0084378090067647,75.37
Alabama,2014,42830,42223.83,1.0143560151359063,75.81
Alabama,2015,44765,41926.13,1.0677112594868943,79.8
Alabama,2016,46257,42378.16,1.0915293118047737,81.58
Alabama,2017,48123,42214.03,1.139976340569584,85.2
Alabama,2018,49861,41011.81,1.2157717200052442,90.87
Alabama,2019,51734,41621.73,1.2429564738669807,92.9
Alabama,2021,53913,41471.32,1.300006863779678,97.16
Alabama,2022,59674,41158.18,1.4498695879066288,108.36
Alabama,2023,62212,42172.11,1.475192825287345,110.26
Alaska,2008,68460,52783.8,1.2969888611372131,96.94
Alaska,2009,66953,55326.92,1.2101341910905508,90.45
Alaska,2010,64576,53495.56,1.2071281838961536,90.22
Alaska,2011,67825,52880.54,1.2826078461164077,95.86
Alaska,2012,67712,53492.39,1.2658250210209825,94.61
Alaska,2013,72237,52937.69,1.3645665180652338,101.99
Alaska,2014,71583,53306.03,1.342868664469342,100.37
Alaska,2015,73355,53708.43,1.365800489792757,102.08
Alaska,2016,76440,53288.84,1.4344466602304224,107.21
Alaska,2017,73181,53595.9,1.3654215195756518,102.05
Alaska,2018,74346,52249.92,1.4228921307439324,106.35
Alaska,2019,75463,51071.08,1.4776071719958008,110.44
Alaska,2021,77845,52835.9,1.4733352811250335,110.12
Alaska,2022,88121,50801.36,1.734618881568941,129.65
Alaska,2023,86631,50120.83,1.7284429410820048,129.19
Arizona,2008,50958,51679.33,0.9860422715265288,73.7
Arizona,2009,48745,51649.25,0.9437697089614221,70.54
Arizona,2010,46789,49963.19,0.9364693444491425,69.99
Arizona,2011,46709,49173.02,0.9498907175224629,71.0
Arizona,2012,47826,48903.7,0.9779627526365436,73.09
Arizona,2013,48510,48758.57,0.9949020652124156,74.36
Arizona,2014,50068,48496.2,1.0324108400457581,77.16
Arizona,2015,51492,48683.03,1.0576990961101376,79.05
Arizona,2016,53558,48664.97,1.100545195023336,82.26
Arizona,2017,56581,48534.8,1.165782078014126,87.13
Arizona,2018,59246,48360.4,1.2250931947888564,91.56
Arizona,2019,62055,48456.05,1.2806449588454925,95.72
Arizona,2021,69056,49331.02,1.3998494679366895,104.63
Arizona,2022,74568,51047.53,1.4607563653377371,109.18
Arizona,2023,77315,51639.76,1.4971990429738726,111.9
Arkansas,2008,38815,41597.36,0.9331120004008908,69.74
Arkansas,2009,37823,40812.98,0.9267395969051507,69.27
Arkansas,2010,38307,41945.54,0.9132557146636023,68.26
Arkansas,2011,38758,42246.06,0.9174346781384426,68.57
Arkansas,2012,40112,41991.58,0.9552391331219156,71.4
Arkansas,2013,40511,42048.15,0.9634430545247268,72.01
Arkansas,2014,41262,42003.19,0.9823539476126223,73.42
Arkansas,2015,41995,41660.98,1.0080176589235732,75.34
Arkansas,2016,44334,41825.3,1.0599805058170835,79.22
Arkansas,2017,45869,41302.82,1.1105538044844956,83.0
Arkansas,2018,47062,40725.21,1.1555986356117847,86.37
Arkansas,2019,48952,41069.51,1.1919303307079512,89.09
Arkansas,2021,52528,41698.34,1.2597144154899214,94.15
Arkansas,2022,55432,40394.08,1.3722804474136312,102.57
Arkansas,2023,58700,40315.79,1.4560051126366917,108.82
California,2008,61021,63031.6,0.9681017524583603,72.36
California,2009,58931,62362.25,0.9449786952451726,70.63
California,2010,57708,61593.26,0.9369207259664687,70.03
California,2011,57287,61526.58,0.9310934679153767,69.59
California,2012,58328,61490.58,0.9485680879434895,70.9
California,2013,60190,61417.41,0.9800152359072437,73.25
California,2014,61933,61843.12,1.0014534358432625,74.85
California,2015,64500,62190.57,1.0371347796201955,77.52
California,2016,67739,62236.85,1.088406705960057,81.35
California,2017,71805,62865.59,1.1421987767871105,85.37
California,2018,75277,63453.93,1.1863252318731423,88.67
California,2019,80440,63477.05,1.2672296423098612,94.71
California,2021,84907,63849.83,1.3297921804063164,99.39
California,2022,91551,63237.43,1.447734390401406,108.2
California,2023,95521,62781.74,1.5214774110953486,113.72
Colorado,2008,56993,53698.12,1.061359367020641,79.33
Colorado,2009,55430,53090.87,1.0440590567494317,78.03
Colorado,2010,54046,52395.83,1.031494280527777,77.09
Colorado,2011,55387,54019.28,1.0253190418565992,76.63
Colorado,2012,56765,53536.0,1.0603145447893516,79.25
Colorado,2013,58823,53863.41,1.0920771025036977,81.62
Colorado,2014,61303,54085.03,1.133456051218317,84.72
Colorado,2015,63909,54560.57,1.171340348380692,87.55
Colorado,2016,65685,54813.71,1.1983316508770334,89.56
Colorado,2017,69117,55292.16,1.25003253173628,93.43
Colorado,2018,71953,54396.2,1.322757876177689,98.86
Colorado,2019,77127,55690.99,1.3849097893605486,103.51
Colorado,2021,82254,55544.43,1.4808686520509848,110.68
Colorado,2022,89302,55363.74,1.6130052635987588,120.56
Colorado,2023,92911,55007.81,1.6890510177813565,126.24
Connecticut,2008,68595,58288.06,1.1768276182664577,87.96
Connecticut,2009,67034,59046.75,1.1352699151897452,84.85
Connecticut,2010,64032,56419.71,1.13492260013795,84.82
Connecticut,2011,65753,56884.94,1.1558946275115367,86.39
Connecticut,2012,67276,57125.11,1.1776957113213562,88.02
Connecticut,2013,67098,56812.99,1.1810328115919908,88.27
Connecticut,2014,70048,56312.96,1.2439055654980573,92.97
Connecticut,2015,71346,57181.76,1.2477054856833856,93.25
Connecticut,2016,73433,56371.51,1.3026615518608329,97.36
Connecticut,2017,74168,55478.05,1.3368891903655005,99.92
Connecticut,2018,76348,54579.52,1.3988398010084973,104.55
Connecticut,2019,78833,53601.71,1.4707178816080593,109.92
Connecticut,2021,83771,53601.66,1.5628434478649895,116.81
Connecticut,2022,88429,54575.68,1.6203003223871584,121.1
Connecticut,2023,91665,53171.64,1.7239454509167256,128.85
Delaware,2008,57989,49838.63,1.1635351000992524,86.96
Delaware,2009,56860,51510.73,1.103847619485438,82.5
