state,year,median_income,col,mli,annual_surplus,surplus_pct
Alabama,2008,42666,42094.1,1.014,571.9000000000015,1.4
Alabama,2009,40489,41239.26,0.982,-750.260000000002,-1.8
Alabama,2010,40474,43048.6,0.94,-2574.5999999999985,-6.0
Alabama,2011,41415,44780.44,0.925,-3365.4400000000023,-7.5
Alabama,2012,41574,46059.68,0.903,-4485.68,-9.7
Alabama,2013,42849,46592.54,0.92,-3743.540000000001,-8.0
Alabama,2014,42830,47019.76,0.911,-4189.760000000002,-8.9
Alabama,2015,44765,46481.52,0.963,-1716.5199999999968,-3.7
Alabama,2016,46257,47403.46,0.976,-1146.4599999999991,-2.4
Alabama,2017,48123,48230.13,0.998,-107.12999999999738,-0.2
Alabama,2018,49861,48047.04,1.038,1813.9599999999991,3.8
Alabama,2019,51734,49526.26,1.045,2207.739999999998,4.5
Alabama,2021,53913,52376.35,1.029,1536.6500000000015,2.9
Alabama,2022,59674,56540.78,1.055,3133.220000000001,5.5
Alabama,2023,62212,59936.34,1.038,2275.6600000000035,3.8
Alaska,2008,68460,51934.93,1.318,16525.07,31.8
Alaska,2009,66953,53753.11,1.246,13199.89,24.6
Alaska,2010,64576,53001.51,1.218,11574.489999999998,21.8
Alaska,2011,67825,54400.83,1.247,13424.169999999998,24.7
Alaska,2012,67712,56015.89,1.209,11696.11,20.9
Alaska,2013,72237,56289.91,1.283,15947.089999999997,28.3
Alaska,2014,71583,57569.78,1.243,14013.220000000001,24.3
Alaska,2015,73355,57922.62,1.266,15432.379999999997,26.6
Alaska,2016,76440,58233.3,1.313,18206.699999999997,31.3
Alaska,2017,73181,59955.96,1.221,13225.04,22.1
Alaska,2018,74346,60201.7,1.235,14144.300000000003,23.5
Alaska,2019,75463,59992.89,1.258,15470.11,25.8
Alaska,2021,77845,65615.76,1.186,12229.240000000005,18.6
Alaska,2022,88121,68628.43,1.284,19492.570000000007,28.4
Alaska,2023,86631,70470.37,1.229,16160.630000000005,22.9
Arizona,2008,50958,50906.13,1.001,51.87000000000262,0.1
Arizona,2009,48745,50477.03,0.966,-1732.0299999999988,-3.4
Arizona,2010,46789,49927.31,0.937,-3138.3099999999977,-6.3
Arizona,2011,46709,50972.55,0.916,-4263.550000000003,-8.4
Arizona,2012,47826,51760.33,0.924,-3934.3300000000017,-7.6
Arizona,2013,48510,52438.09,0.925,-3928.0899999999965,-7.5
Arizona,2014,50068,52969.6,0.945,-2901.5999999999985,-5.5
Arizona,2015,51492,52968.31,0.972,-1476.3099999999977,-2.8
Arizona,2016,53558,53655.88,0.998,-97.87999999999738,-0.2
Arizona,2017,56581,54692.87,1.035,1888.1299999999974,3.5
Arizona,2018,59246,55892.29,1.06,3353.709999999999,6.0
Arizona,2019,62055,57053.28,1.088,5001.720000000001,8.8
Arizona,2021,69056,61319.98,1.126,7736.019999999997,12.6
Arizona,2022,74568,68767.22,1.084,5800.779999999999,8.4
Arizona,2023,77315,72376.19,1.068,4938.809999999998,6.8
Arkansas,2008,38815,41814.58,0.928,-2999.5800000000017,-7.2
Arkansas,2009,37823,40656.1,0.93,-2833.0999999999985,-7.0
Arkansas,2010,38307,42678.48,0.898,-4371.480000000003,-10.2
Arkansas,2011,38758,44687.99,0.867,-5929.989999999998,-13.3
Arkansas,2012,40112,45479.91,0.882,-5367.9100000000035,-11.8
Arkansas,2013,40511,46158.03,0.878,-5647.029999999999,-12.2
Arkansas,2014,41262,46777.1,0.882,-5515.0999999999985,-11.8
Arkansas,2015,41995,46191.52,0.909,-4196.519999999997,-9.1
Arkansas,2016,44334,46807.91,0.947,-2473.9100000000035,-5.3
Arkansas,2017,45869,47265.43,0.97,-1396.4300000000003,-3.0
Arkansas,2018,47062,47835.92,0.984,-773.9199999999983,-1.6
Arkansas,2019,48952,48948.64,1.0,3.360000000000582,0.0
Arkansas,2021,52528,52687.15,0.997,-159.15000000000146,-0.3
Arkansas,2022,55432,55533.04,0.998,-101.04000000000087,-0.2
Arkansas,2023,58700,57363.54,1.023,1336.4599999999991,2.3
California,2008,61021,60891.03,1.002,129.97000000000116,0.2
California,2009,58931,59870.63,0.984,-939.6299999999974,-1.6
California,2010,57708,60132.04,0.96,-2424.040000000001,-4.0
