state,year,median_income,col,mli,annual_surplus,surplus_pct
Alabama,2008,42666,59535.23,0.717,-16869.230000000003,-28.3
Alabama,2009,40489,58894.03,0.687,-18405.03,-31.3
Alabama,2010,40474,60129.58,0.673,-19655.58,-32.7
Alabama,2011,41415,60167.75,0.688,-18752.75,-31.2
Alabama,2012,41574,60555.28,0.687,-18981.28,-31.3
Alabama,2013,42849,60407.44,0.709,-17558.440000000002,-29.1
Alabama,2014,42830,60064.56,0.713,-17234.559999999998,-28.7
Alabama,2015,44765,59678.72,0.75,-14913.720000000001,-25.0
Alabama,2016,46257,60293.27,0.767,-14036.269999999997,-23.3
Alabama,2017,48123,60011.18,0.802,-11888.18,-19.8
Alabama,2018,49861,58296.71,0.855,-8435.71,-14.5
Alabama,2019,51734,59139.42,0.875,-7405.419999999998,-12.5
Alabama,2021,53913,58910.06,0.915,-4997.059999999998,-8.5
Alabama,2022,59674,58550.54,1.019,1123.4599999999991,1.9
Alabama,2023,62212,59936.34,1.038,2275.6600000000035,3.8
Alaska,2008,68460,73936.21,0.926,-5476.210000000006,-7.4
Alaska,2009,66953,77257.91,0.867,-10304.910000000003,-13.3
Alaska,2010,64576,74720.01,0.864,-10144.009999999995,-13.6
Alaska,2011,67825,73974.27,0.917,-6149.270000000004,-8.3
Alaska,2012,67712,74681.65,0.907,-6969.649999999994,-9.3
Alaska,2013,72237,73955.12,0.977,-1718.1199999999953,-2.3
Alaska,2014,71583,74457.19,0.961,-2874.1900000000023,-3.9
Alaska,2015,73355,74988.63,0.978,-1633.6300000000047,-2.2
Alaska,2016,76440,74500.29,1.026,1939.7100000000064,2.6
Alaska,2017,73181,74948.36,0.976,-1767.3600000000006,-2.4
Alaska,2018,74346,73292.63,1.014,1053.3699999999953,1.4
Alaska,2019,75463,71727.7,1.052,3735.300000000003,5.2
Alaska,2021,77845,73998.53,1.052,3846.470000000001,5.2
Alaska,2022,88121,71291.46,1.236,16829.539999999994,23.6
Alaska,2023,86631,70470.37,1.229,16160.630000000005,22.9
Arizona,2008,50958,72459.44,0.703,-21501.440000000002,-29.7
Arizona,2009,48745,72430.11,0.673,-23685.11,-32.7
Arizona,2010,46789,70210.42,0.666,-23421.42,-33.4
Arizona,2011,46709,69111.98,0.676,-22402.979999999996,-32.4
Arizona,2012,47826,68683.63,0.696,-20857.630000000005,-30.4
Arizona,2013,48510,68581.86,0.707,-20071.86,-29.3
Arizona,2014,50068,68197.55,0.734,-18129.550000000003,-26.6
Arizona,2015,51492,68391.9,0.753,-16899.899999999994,-24.7
Arizona,2016,53558,68487.54,0.782,-14929.539999999994,-21.8
Arizona,2017,56581,68243.02,0.829,-11662.020000000004,-17.1
Arizona,2018,59246,67988.41,0.871,-8742.410000000003,-12.9
Arizona,2019,62055,68179.38,0.91,-6124.380000000005,-9.0
Arizona,2021,69056,69111.8,0.999,-55.80000000000291,-0.1
Arizona,2022,74568,71513.81,1.043,3054.1900000000023,4.3
Arizona,2023,77315,72376.19,1.068,4938.809999999998,6.8
